Source,Source City,Source Country,Target,Target City,Target Country,Weight
CNS,Cairns,Australia,OOL,Gold Coast,Australia,10569
MEL,Melbourne (AU),Australia,SYD,Sydney (AU),Australia,1084
OOL,Gold Coast,Australia,CNS,Cairns,Australia,8401
SYD,Sydney (AU),Australia,MEL,Melbourne (AU),Australia,1084
CNS,Cairns,Australia,SYD,Sydney (AU),Australia,1897
SYD,Sydney (AU),Australia,CNS,Cairns,Australia,1897
NTL,Newcastle (AU),Australia,SYD,Sydney (AU),Australia,2641
SYD,Sydney (AU),Australia,NTL,Newcastle (AU),Australia,2299
SYD,Sydney (AU),Australia,TRO,Taree,Australia,1691
TRO,Taree,Australia,SYD,Sydney (AU),Australia,1330
OOM,Cooma,Australia,SYD,Sydney (AU),Australia,2470
SYD,Sydney (AU),Australia,OOM,Cooma,Australia,2318
NTL,Newcastle (AU),Australia,OOM,Cooma,Australia,76
OOM,Cooma,Australia,NTL,Newcastle (AU),Australia,76
TRO,Taree,Australia,NTL,Newcastle (AU),Australia,361
MEL,Melbourne (AU),Australia,SYD,Sydney (AU),Australia,2760
CNJ,Cloncurry,Australia,ISA,Mount Isa,Australia,95
CNJ,Cloncurry,Australia,TSV,Townsville,Australia,952
ISA,Mount Isa,Australia,CNJ,Cloncurry,Australia,190
TSV,Townsville,Australia,CNJ,Cloncurry,Australia,476
BNE,Brisbane,Australia,TSV,Townsville,Australia,170
BVI,Birdsville,Australia,WNR,Windorah,Australia,171
CNS,Cairns,Australia,LZR,Lizard Island,Australia,1116
LZR,Lizard Island,Australia,CNS,Cairns,Australia,1116
CNS,Cairns,Australia,KWM,Kowanyama,Australia,190
HGD,Hughenden,Australia,RCM,Richmond (AU),Australia,247
KWM,Kowanyama,Australia,CNS,Cairns,Australia,247
RCM,Richmond (AU),Australia,HGD,Hughenden,Australia,247
ULP,Quilpie,Australia,WNR,Windorah,Australia,171
WNR,Windorah,Australia,ULP,Quilpie,Australia,171
WNR,Windorah,Australia,BVI,Birdsville,Australia,171
BUC,Burketown,Australia,DMD,Doomadgee Mission,Australia,171
DMD,Doomadgee Mission,Australia,BUC,Burketown,Australia,190
BUC,Burketown,Australia,ONG,Mornington Island,Australia,190
CNS,Cairns,Australia,TSV,Townsville,Australia,171
ONG,Mornington Island,Australia,BUC,Burketown,Australia,171
TSV,Townsville,Australia,CNS,Cairns,Australia,95
BNE,Brisbane,Australia,CTL,Charleville,Australia,171
CTL,Charleville,Australia,BNE,Brisbane,Australia,171
BMP,Brampton Island,Australia,MKY,Mackay,Australia,372
CNJ,Cloncurry,Australia,ISA,Mount Isa,Australia,272
ISA,Mount Isa,Australia,CNJ,Cloncurry,Australia,952
LRE,Longreach,Australia,WIN,Winton,Australia,190
MKY,Mackay,Australia,BMP,Brampton Island,Australia,372
OKY,Oakey,Australia,SGO,St George (AU),Australia,171
SGO,St George (AU),Australia,OKY,Oakey,Australia,171
TSV,Townsville,Australia,WIN,Winton,Australia,190
WIN,Winton,Australia,LRE,Longreach,Australia,190
WIN,Winton,Australia,TSV,Townsville,Australia,190
CMA,Cunnamulla,Australia,XTG,Thargomindah,Australia,171
CNS,Cairns,Australia,NTN,Normanton,Australia,342
DMD,Doomadgee Mission,Australia,ONG,Mornington Island,Australia,228
ISA,Mount Isa,Australia,JCK,Julia Creek,Australia,152
ISA,Mount Isa,Australia,TSV,Townsville,Australia,646
JCK,Julia Creek,Australia,ISA,Mount Isa,Australia,152
NTN,Normanton,Australia,CNS,Cairns,Australia,418
ONG,Mornington Island,Australia,DMD,Doomadgee Mission,Australia,171
TSV,Townsville,Australia,ISA,Mount Isa,Australia,1360
XTG,Thargomindah,Australia,CMA,Cunnamulla,Australia,171
CNJ,Cloncurry,Australia,TSV,Townsville,Australia,190
TSV,Townsville,Australia,CNJ,Cloncurry,Australia,95
NTN,Normanton,Australia,ONG,Mornington Island,Australia,342
ONG,Mornington Island,Australia,NTN,Normanton,Australia,418
CMA,Cunnamulla,Australia,SGO,St George (AU),Australia,171
HGD,Hughenden,Australia,TSV,Townsville,Australia,247
SGO,St George (AU),Australia,CMA,Cunnamulla,Australia,171
TSV,Townsville,Australia,HGD,Hughenden,Australia,247
BEU,Bedourie,Australia,BQL,Boulia,Australia,171
BNE,Brisbane,Australia,OKY,Oakey,Australia,171
BQL,Boulia,Australia,BEU,Bedourie,Australia,171
OKY,Oakey,Australia,BNE,Brisbane,Australia,171
CNS,Cairns,Australia,DKI,Dunk Island,Australia,1494
BQL,Boulia,Australia,ISA,Mount Isa,Australia,171
ISA,Mount Isa,Australia,BQL,Boulia,Australia,171
DKI,Dunk Island,Australia,CNS,Cairns,Australia,1494
DMD,Doomadgee Mission,Australia,ISA,Mount Isa,Australia,342
ISA,Mount Isa,Australia,DMD,Doomadgee Mission,Australia,418
JCK,Julia Creek,Australia,RCM,Richmond (AU),Australia,247
RCM,Richmond (AU),Australia,JCK,Julia Creek,Australia,247
BNE,Brisbane,Australia,CNJ,Cloncurry,Australia,136
CNJ,Cloncurry,Australia,BNE,Brisbane,Australia,340
BEU,Bedourie,Australia,BVI,Birdsville,Australia,171
BVI,Birdsville,Australia,BEU,Bedourie,Australia,171
CTL,Charleville,Australia,ULP,Quilpie,Australia,171
EDR,Edward River,Australia,KWM,Kowanyama,Australia,247
ISA,Mount Isa,Australia,TSV,Townsville,Australia,285
KWM,Kowanyama,Australia,EDR,Edward River,Australia,190
TSV,Townsville,Australia,ISA,Mount Isa,Australia,399
ULP,Quilpie,Australia,CTL,Charleville,Australia,171
CNJ,Cloncurry,Australia,JCK,Julia Creek,Australia,95
CNS,Cairns,Australia,EDR,Edward River,Australia,247
EDR,Edward River,Australia,CNS,Cairns,Australia,190
