Source,Source City,Source Country,Target,Target City,Target Country,Weight
SZX,Shenzhen,China,XZM,Macao,Macao (sar) China,1488
XZM,Macao,Macao (sar) China,SZX,Shenzhen,China,1488
PEK,Beijing,China,PVG,Shanghai,China,8100
PVG,Shanghai,China,PEK,Beijing,China,8370
CAN,Guangzhou,China,MIG,Mianyang,China,1794
CKG,Chongqing,China,DYG,Dayong,China,2484
CTU,Chengdu,China,PEK,Beijing,China,15500
CTU,Chengdu,China,WNZ,Wenzhou,China,740
CTU,Chengdu,China,XUZ,Xuzhou,China,1152
CAN,Guangzhou,China,PEK,Beijing,China,4590
CAN,Guangzhou,China,YBP,Yibin,China,3036
CKG,Chongqing,China,CSX,Changsha,China,4650
DYG,Dayong,China,CKG,Chongqing,China,2484
FOC,Fuzhou,China,KHN,Nanchang,China,1664
FOC,Fuzhou,China,PEK,Beijing,China,6900
HGH,Hangzhou,China,SZX,Shenzhen,China,3844
CAN,Guangzhou,China,PEK,Beijing,China,1305
CKG,Chongqing,China,KWL,Guilin,China,610
CKG,Chongqing,China,KWL,Guilin,China,8970
CKG,Chongqing,China,PEK,Beijing,China,13680
CAN,Guangzhou,China,CTU,Chengdu,China,16280
CAN,Guangzhou,China,HET,Hohhot,China,1242
CAN,Guangzhou,China,KWL,Guilin,China,3240
CAN,Guangzhou,China,PEK,Beijing,China,6000
CKG,Chongqing,China,HAK,Haikou,China,3060
CKG,Chongqing,China,HKG,Hong Kong,Hong Kong (sar) China,2484
CSX,Changsha,China,CTU,Chengdu,China,1665
CSX,Changsha,China,HGH,Hangzhou,China,4650
CTU,Chengdu,China,CAN,Guangzhou,China,16280
CSX,Changsha,China,CKG,Chongqing,China,4650
CTU,Chengdu,China,DYG,Dayong,China,1104
CTU,Chengdu,China,LHW,Lanzhou,China,1792
CTU,Chengdu,China,SZX,Shenzhen,China,1104
DLC,Dalian,China,LYA,Luoyang,China,552
KHN,Nanchang,China,FOC,Fuzhou,China,1664
MIG,Mianyang,China,CAN,Guangzhou,China,1794
NGB,Ningbo,China,PEK,Beijing,China,1104
