Source,Source City,Source Country,Target,Target City,Target Country,Weight
EMA,Nottingham,United Kingdom,IOM,Isle of Man,United Kingdom,513
IOM,Isle of Man,United Kingdom,EMA,Nottingham,United Kingdom,513
EDI,Edinburgh,United Kingdom,IOM,Isle of Man,United Kingdom,1026
IOM,Isle of Man,United Kingdom,EDI,Edinburgh,United Kingdom,1026
IOM,Isle of Man,United Kingdom,LPL,Liverpool,United Kingdom,3154
LPL,Liverpool,United Kingdom,IOM,Isle of Man,United Kingdom,3154
BHD,Belfast,United Kingdom,IOM,Isle of Man,United Kingdom,828
IOM,Isle of Man,United Kingdom,BHD,Belfast,United Kingdom,828
BLK,Blackpool,United Kingdom,IOM,Isle of Man,United Kingdom,1116
IOM,Isle of Man,United Kingdom,BLK,Blackpool,United Kingdom,1116
CWL,Cardiff,United Kingdom,JER,Jersey,United Kingdom,552
JER,Jersey,United Kingdom,CWL,Cardiff,United Kingdom,552
JER,Jersey,United Kingdom,PLH,Plymouth,United Kingdom,368
PLH,Plymouth,United Kingdom,JER,Jersey,United Kingdom,368
JER,Jersey,United Kingdom,SWS,Swansea,United Kingdom,184
SWS,Swansea,United Kingdom,JER,Jersey,United Kingdom,184
CWL,Cardiff,United Kingdom,SWS,Swansea,United Kingdom,3542
SWS,Swansea,United Kingdom,CWL,Cardiff,United Kingdom,3542
CWL,Cardiff,United Kingdom,LCY,London (GB),United Kingdom,3542
LCY,London (GB),United Kingdom,CWL,Cardiff,United Kingdom,3542
BHD,Belfast,United Kingdom,CWL,Cardiff,United Kingdom,2300
CWL,Cardiff,United Kingdom,BHD,Belfast,United Kingdom,2300
BBP,Bembridge,United Kingdom,BQH,London (GB),United Kingdom,1240
MSE,Manston,United Kingdom,SEN,Southend,United Kingdom,238
SEN,Southend,United Kingdom,MSE,Manston,United Kingdom,238
GLA,Glasgow (GB),United Kingdom,ILY,Islay,United Kingdom,1700
ILY,Islay,United Kingdom,GLA,Glasgow (GB),United Kingdom,1700
JER,Jersey,United Kingdom,LGW,London (GB),United Kingdom,1320
ABZ,Aberdeen (GB),United Kingdom,LGW,London (GB),United Kingdom,13224
BEB,Benbecula,United Kingdom,GLA,Glasgow (GB),United Kingdom,1782
ABZ,Aberdeen (GB),United Kingdom,LSI,Shetland Islands,United Kingdom,5610
LGW,London (GB),United Kingdom,JER,Jersey,United Kingdom,1320
ABZ,Aberdeen (GB),United Kingdom,KOI,Kirkwall,United Kingdom,3026
ABZ,Aberdeen (GB),United Kingdom,LSI,Shetland Islands,United Kingdom,442
GLA,Glasgow (GB),United Kingdom,BEB,Benbecula,United Kingdom,1782
GLA,Glasgow (GB),United Kingdom,INV,Inverness,United Kingdom,2414
ABZ,Aberdeen (GB),United Kingdom,LHR,London (GB),United Kingdom,6930
BHD,Belfast,United Kingdom,MAN,Manchester (GB),United Kingdom,6600
BHX,Birmingham (GB),United Kingdom,EDI,Edinburgh,United Kingdom,5096
INV,Inverness,United Kingdom,GLA,Glasgow (GB),United Kingdom,2414
EDI,Edinburgh,United Kingdom,BHX,Birmingham (GB),United Kingdom,5096
GLA,Glasgow (GB),United Kingdom,TRE,Tiree,United Kingdom,513
KOI,Kirkwall,United Kingdom,LSI,Shetland Islands,United Kingdom,1122
KOI,Kirkwall,United Kingdom,WIC,Wick,United Kingdom,918
LGW,London (GB),United Kingdom,ABZ,Aberdeen (GB),United Kingdom,13224
LGW,London (GB),United Kingdom,NCL,Newcastle (GB),United Kingdom,792
ABZ,Aberdeen (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,196
BHD,Belfast,United Kingdom,SOU,Southampton,United Kingdom,1550
ABZ,Aberdeen (GB),United Kingdom,LHR,London (GB),United Kingdom,2052
BRS,Bristol,United Kingdom,EDI,Edinburgh,United Kingdom,6615
GLA,Glasgow (GB),United Kingdom,LHR,London (GB),United Kingdom,2700
KOI,Kirkwall,United Kingdom,ABZ,Aberdeen (GB),United Kingdom,3026
KOI,Kirkwall,United Kingdom,PPW,Papa Westray,United Kingdom,248
ABZ,Aberdeen (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,1782
ABZ,Aberdeen (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,3969
ABZ,Aberdeen (GB),United Kingdom,LHR,London (GB),United Kingdom,15794
BHX,Birmingham (GB),United Kingdom,ABZ,Aberdeen (GB),United Kingdom,3969
EDI,Edinburgh,United Kingdom,LHR,London (GB),United Kingdom,16241
